全国市部,ぜんこくしぶ
吉岡村,よしおかむら
吉岡町,よしおかまち
多野郡,たのぐん
新町,しんまち
鬼石町,おにしまち
吉井町,よしいまち
万場町,まんばまち
中里村,なかさとむら
上野村,うえのむら
神流町,かんなまち
甘楽郡,かんらぐん
妙義町,みょうぎまち
下仁田町,しもにたまち
南牧村,なんもくむら
甘楽町,かんらまち
碓氷郡,うすいぐん
松井田町,まついだまち
吾妻郡,あがつまぐん
中之条町,なかのじょうまち
東村,あづまむら
吾妻町,あがつままち
長野原町,ながのはらまち
嬬恋村,つまごいむら
草津町,くさつまち
六合村,くにむら
高山村,たかやまむら
東吾妻町,ひがしあがつままち
利根郡,とねぐん
利根村,とねむら
片品村,かたしなむら
川場村,かわばむら
月夜野町,つきよのまち
水上町,みなかみまち
新治村,にいはるむら
佐波郡,さわぐん
赤堀村,あかぼりむら
赤堀町,あかぼりまち
玉村町,たまむらまち
新田郡,にったぐん
尾島町,おじままち
新田町,にったまち
藪塚本町,やぶづかほんまち
笠懸村,かさかけむら
笠懸町,かさかけまち
山田郡,やまだぐん
大間々町,おおまままち
邑楽郡,おうらぐん
板倉町,いたくらまち
明和町,めいわまち
明和村,めいわむら
大泉町,おおいずみまち
邑楽町,おうらまち
埼玉県,さいたまけん
埼玉県市部,さいたまけんしぶ
埼玉県郡部,さいたまけんぐんぶ
さいたま市,さいたまし
大宮区,おおみやく
見沼区,みぬまく
桜区,さくらく
浦和区,うらわく
緑区,みどりく
岩槻区,いわつきく
川越市,かわごえし
熊谷市,くまがやし
川口市,かわぐちし
浦和市,うらわし
大宮市,おおみやし
行田市,ぎょうだし
秩父市,ちちぶし
所沢市,ところざわし
飯能市,はんのうし
加須市,かぞし
東松山市,ひがしまつやまし
岩槻市,いわつきし
春日部市,かすかべし
狭山市,さやまし
羽生市,はにゅうし
鴻巣市,こうのすし
深谷市,ふかやし
上尾市,あげおし
与野市,よのし
草加市,そうかし
越谷市,こしがやし
蕨市,わらびし
戸田市,とだし
入間市,いるまし
鳩ケ谷市,はとがやし
朝霞市,あさかし
志木市,しきし
和光市,わこうし
新座市,にいざし
桶川市,おけがわし
久喜市,くきし
北本市,きたもとし
八潮市,やしおし
富士見市,ふじみし
上福岡市,かみふくおかし
三郷市,みさとし
蓮田市,はすだし
坂戸市,さかどし
幸手市,さってし
鶴ヶ島市,つるがしまし
日高市,ひだかし
吉川市,よしかわし
ふじみ野市,ふじみのし
白岡市,しらおかし
北足立郡,きたあだちぐん
桶川町,おけがわまち
北本町,きたもとまち
吹上町,ふきあげまち
新座町,にいざまち
入間郡,いるまぐん
大井町,おおいまち
富士見町,ふじみまち
三芳村,みよしむら
三芳町,みよしまち
坂戸町,さかどまち
毛呂山町,もろやままち
越生町,おごせまち
鶴ヶ島町,つるがしまちょう
日高町,ひだかまち
名栗村,なぐりむら
比企郡,ひきぐん
滑川村,なめがわむら
滑川町,なめがわまち
嵐山町,らんざんまち
都幾川村,ときがわむら
玉川村,たまがわむら
川島村,かわじまむら
川島町,かわじままち
吉見町,よしみまち
吉見村,よしみむら
鳩山町,はとやままち
鳩山村,はとやまむら
ときがわ町,ときがわまち
秩父郡,ちちぶぐん
横瀬町,よこぜまち
横瀬村,よこぜむら
皆野町,みなのまち
野上町,のがみまち
長瀞町,ながとろまち
吉田町,よしだまち
小鹿野町,おがのまち
両神村,りょうかみむら
荒川村,あらかわむら
東秩父村,ひがしちちぶむら
児玉郡,こだまぐん
美里村,みさとむら
児玉町,こだままち
神川村,かみかわむら
神川町,かみかわまち
神泉村,かみいずみむら
上里町,かみさとまち
上里村,かみさとむら
大里郡,おおさとぐん
大里村,おおさとむら
大里町,おおさとまち
江南町,こうなんまち
江南村,こうなんむら
妻沼町,めぬままち
豊里村,とよさとむら
岡部町,おかべまち
川本町,かわもとまち
川本村,かわもとむら
花園村,はなぞのむら
花園町,はなぞのまち
寄居町,よりいまち
北埼玉郡,きたさいたまぐん
騎西町,きさいまち
南河原村,みなみかわらむら
川里村,かわさとむら
川里町,かわさとまち
北川辺町,きたかわべまち
北川辺村,きたかわべむら
大利根町,おおとねまち
大利根村,おおとねむら
南埼玉郡,みなみさいたまぐん
八潮町,やしおまち
宮代町,みやしろまち
久喜町,くきまち
蓮田町,はすだまち
白岡町,しらおかまち
菖蒲町,しょうぶまち
北葛飾郡,きたかつしかぐん
栗橋町,くりはしまち
鷲宮町,わしみやまち
幸手町,さってまち
杉戸町,すぎとまち
松伏町,まつぶしまち
吉川町,よしかわまち
千葉県,ちばけん
千葉県市部,ちばけんしぶ
千葉県郡部,ちばけんぐんぶ
千葉市,ちばし
花見川区,はなみがわく
稲毛区,いなげく
若葉区,わかばく
美浜区,みはまく
銚子市,ちょうしし
市川市,いちかわし
船橋市,ふなばしし
館山市,たてやまし
木更津市,きさらづし
松戸市,まつどし
野田市,のだし
佐原市,さわらし
茂原市,もばらし
成田市,なりたし
東金市,とうがねし
八日市場市,ようかいちばし
旭市,あさひし
習志野市,ならしのし
柏市,かしわし
勝浦市,かつうらし
市原市,いちはらし
流山市,ながれやまし
八千代市,やちよし
我孫子市,あびこし
鴨川市,かもがわし
鎌ケ谷市,かまがやし
君津市,きみつし
富津市,ふっつし
浦安市,うらやすし
四街道市,よつかいどうし
袖ケ浦市,そでがうらし
八街市,やちまたし
印西市,いんざいし
白井市,しろいし
富里市,とみさとし
南房総市,みなみぼうそうし
匝瑳市,そうさし
香取市,かとりし
山武市,さんむし
いすみ市,いすみし
大網白里市,おおあみしらさとし
東葛飾郡,ひがしかつしかぐん
浦安町,うらやすまち
鎌ケ谷町,かまがやまち
関宿町,せきやどまち
我孫子町,あびこまち
沼南町,しょうなんまち
印旛郡,いんばぐん
四街道町,よつかいどうまち
酒々井町,しすいまち
八街町,やちまたまち
富里村,とみさとむら
富里町,とみさとまち
印旛村,いんばむら
白井町,しろいまち
印西町,いんざいまち
本埜村,もとのむら
栄町,さかえまち
香取郡,かとりぐん
下総町,しもふさまち
神崎町,こうざきまち
大栄町,たいえいまち
小見川町,おみがわまち
栗源町,くりもとまち
多古町,たこまち
干潟町,ひかたまち
東庄町,とうのしょうまち
海上郡,かいじょうぐん
海上町,うなかみまち
飯岡町,いいおかまち
匝瑳郡,そうさぐん
光町,ひかりまち
野栄町,のさかまち
山武郡,さんぶぐん
大網白里町,おおあみしらさとまち
九十九里町,くじゅうくりまち
成東町,なるとうまち
山武町,さんぶまち
蓮沼村,はすぬまむら
松尾町,まつおまち
横芝町,よこしばまち
芝山町,しばやままち
横芝光町,よこしばひかりまち
長生郡,ちょうせいぐん
一宮町,いちのみやまち
睦沢村,むつざわむら
睦沢町,むつざわまち
長生村,ちょうせいむら
白子町,しらこまち
本納町,ほんのうまち
長柄町,ながらまち
長南町,ちょうなんまち
夷隅郡,いすみぐん
大多喜町,おおたきまち
夷隅町,いすみまち
御宿町,おんじゅくまち
大原町,おおはらまち
岬町,みさきまち
安房郡,あわぐん
富浦町,とみうらまち
富山町,とみやままち
鋸南町,きょなんまち
白浜町,しらはままち
千倉町,ちくらまち
丸山町,まるやままち
和田町,わだまち
江見町,えみまち
長狭町,ながさまち
鴨川町,かもがわまち
天津小湊町,あまつこみなとまち
君津郡,きみつぐん
袖ケ浦町,そでがうらまち
平川町,ひらかわまち
富来田町,ふくたまち
小櫃村,おびつむら
上総町,かずさまち
君津町,きみつまち
小糸町,こいとまち
清和村,せいわむら
富津町,ふっつまち
大佐和町,おおさわまち
天羽町,あまはまち
東京都,とうきょうと
東京都市部,とうきょうとしぶ
東京都郡部,とうきょうとぐんぶ
特別区部,とくべつくぶ
千代田区,ちよだく
港区,みなとく
新宿区,しんじゅくく
文京区,ぶんきょうく
台東区,たいとうく
墨田区,すみだく
江東区,こうとうく
品川区,しながわく
目黒区,めぐろく
大田区,おおたく
世田谷区,せたがやく
渋谷区,しぶやく
中野区,なかのく
杉並区,すぎなみく
豊島区,としまく
荒川区,あらかわく
板橋区,いたばしく
練馬区,ねりまく
足立区,あだちく
葛飾区,かつしかく
江戸川区,えどがわく
八王子市,はちおうじし
立川市,たちかわし
武蔵野市,むさしのし
三鷹市,みたかし
青梅市,おうめし
府中市,ふちゅうし
昭島市,あきしまし
調布市,ちょうふし
町田市,まちだし
小金井市,こがねいし
小平市,こだいらし
日野市,ひのし
東村山市,ひがしむらやまし
国分寺市,こくぶんじし
国立市,くにたちし
田無市,たなしし
保谷市,ほうやし
福生市,ふっさし
狛江市,こまえし
東大和市,ひがしやまとし
清瀬市,きよせし
東久留米市,ひがしくるめし
武蔵村山市,むさしむらやまし
多摩市,たまし
稲城市,いなぎし
秋川市,あきがわし
羽村市,はむらし
あきる野市,あきるのし
西東京市,にしとうきょうし
西多摩郡,にしたまぐん
福生町,ふっさまち
羽村町,はむらまち
瑞穂町,みずほまち
秋多町,あきたまち
日の出村,ひのでむら
日の出町,ひのでまち
五日市町,いつかいちまち
檜原村,ひのはらむら
奥多摩町,おくたままち
南多摩郡,みなみたまぐん
多摩町,たままち
稲城町,いなぎまち
北多摩郡,きたたまぐん
狛江町,こまえまち
村山町,むらやままち
清瀬町,きよせまち
久留米町,くるめまち
大島支庁,おおしましちょう
大島町,おおしままち
利島村,としまむら
新島本村,にいじまほんむら
新島村,にいじまむら
神津島村,こうづしまむら
三宅支庁,みやけしちょう
三宅村,みやけむら
御蔵島村,みくらじまむら
八丈支庁,はちじょうしちょう
八丈町,はちじょうまち
青ヶ島村,あおがしまむら
小笠原支庁,おがさわらしちょう
小笠原村,おがさわらむら
神奈川県,かながわけん
神奈川県市部,かながわけんしぶ
神奈川県郡部,かながわけんぐんぶ
横浜市,よこはまし
鶴見区,つるみく
神奈川区,かながわく
中区,なかく
保土ケ谷区,ほどがやく
磯子区,いそごく
金沢区,かなざわく
港北区,こうほくく
戸塚区,とつかく
港南区,こうなんく
旭区,あさひく
瀬谷区,せやく
栄区,さかえく
都筑区,つづきく
川崎市,かわさきし
川崎区,かわさきく
幸区,さいわいく
中原区,なかはらく
高津区,たかつく
多摩区,たまく
宮前区,みやまえく
麻生区,あさおく
相模原市,さがみはらし
横須賀市,よこすかし
平塚市,ひらつかし
鎌倉市,かまくらし
藤沢市,ふじさわし
小田原市,おだわらし
茅ヶ崎市,ちがさきし
逗子市,ずしし
三浦市,みうらし
秦野市,はだのし
厚木市,あつぎし
大和市,やまとし
伊勢原市,いせはらし
海老名市,えびなし
座間市,ざまし
南足柄市,みなみあしがらし
綾瀬市,あやせし
三浦郡,みうらぐん
葉山町,はやままち
高座郡,こうざぐん
寒川町,さむかわまち
海老名町,えびなまち
座間町,ざままち
綾瀬町,あやせまち
大磯町,おおいそまち
伊勢原町,いせはらまち
足柄上郡,あしがらかみぐん
中井町,なかいまち
松田町,まつだまち
山北町,やまきたまち
南足柄町,みなみあしがらまち
開成町,かいせいまち
足柄下郡,あしがらしもぐん
橘町,たちばなまち
箱根町,はこねまち
真鶴町,まなづるまち
湯河原町,ゆがわらまち
愛甲郡,あいこうぐん
清川村,きよかわむら
津久井郡,つくいぐん
城山町,しろやままち
津久井町,つくいまち
相模湖町,さがみこまち
藤野町,ふじのまち
新潟県,にいがたけん
新潟県市部,にいがたけんしぶ
新潟県郡部,にいがたけんぐんぶ
新潟市,にいがたし
秋葉区,あきはく
西蒲区,にしかんく
長岡市,ながおかし
高田市,たかだし
三条市,さんじょうし
柏崎市,かしわざきし
新発田市,しばたし
新津市,にいつし
小千谷市,おぢやし
加茂市,かもし
十日町市,とおかまちし
見附市,みつけし
村上市,むらかみし
燕市,つばめし
直江津市,なおえつし
栃尾市,とちおし
糸魚川市,いといがわし
新井市,あらいし
妙高市,みょうこうし
五泉市,ごせんし
両津市,りょうつし
白根市,しろねし
豊栄市,とよさかし
上越市,じょうえつし
阿賀野市,あがのし
佐渡市,さどし
魚沼市,うおぬまし
南魚沼市,みなみうおぬまし
胎内市,たいないし
北蒲原郡,きたかんばらぐん
安田町,やすだまち
京ヶ瀬村,きょうがせむら
水原町,すいばらまち
笹神村,ささかみむら
豊栄町,とよさかまち
豊浦町,とようらまち
豊浦村,とようらむら
聖籠村,せいろうむら
聖籠町,せいろうまち
加治川村,かじかわむら
紫雲寺町,しうんじまち
中条町,なかじょうまち
黒川村,くろかわむら
中蒲原郡,なかかんばらぐん
小須戸町,こすどまち
村松町,むらまつまち
横越村,よこごしむら
横越町,よこごしまち
亀田町,かめだまち
西蒲原郡,にしかんばらぐん
岩室村,いわむろむら
弥彦村,やひこむら
分水町,ぶんすいまち
巻町,まきまち
黒埼町,くろさきまち
黒埼村,くろさきむら
味方村,あじかたむら
潟東村,かたひがしむら
月潟村,つきがたむら
中之口村,なかのくちむら
南蒲原郡,みなみかんばらぐん
田上町,たがみまち
田上村,たがみむら
下田村,しただむら
栄村,さかえむら
中之島町,なかのしままち
中之島村,なかのしまむら
東蒲原郡,ひがしかんばらぐん
津川町,つがわまち
鹿瀬町,かのせまち
三川村,みかわむら
阿賀町,あがまち
三島郡,さんとうぐん
越路町,こしじまち
与板町,よいたまち
和島村,わしまむら
出雲崎町,いずもざきまち
寺泊町,てらどまりまち
古志郡,こしぐん
山古志村,やまこしむら
北魚沼郡,きたうおぬまぐん
川口町,かわぐちまち
堀之内町,ほりのうちまち
小出町,こいでまち
湯之谷村,ゆのたにむら
広神村,ひろかみむら
守門村,すもんむら
入広瀬村,いりひろせむら
南魚沼郡,みなみうおぬまぐん
湯沢町,ゆざわまち
塩沢町,しおざわまち
六日町,むいかまち
中魚沼郡,なかうおぬまぐん
津南町,つなんまち
刈羽郡,かりわぐん
高柳町,たかやなぎまち
北条町,きたじょうまち
刈羽村,かりわむら
西山町,にしやままち
東頸城郡,ひがしくびきぐん
安塚町,やすづかまち
浦川原村,うらがわらむら
松代町,まつだいまち
松之山町,まつのやままち
大島村,おおしまむら
牧村,まきむら
中頸城郡,なかくびきぐん
柿崎町,かきざきまち
大潟町,おおがたまち
頸城村,くびきむら
妙高高原町,みょうこうこうげんまち
中郷村,なかごうむら
妙高村,みょうこうむら
清里村,きよさとむら
三和村,さんわむら
西頸城郡,にしくびきぐん
名立町,なだちまち
能生町,のうまち
青海町,おうみまち
岩船郡,いわふねぐん
関川村,せきかわむら
荒川町,あらかわまち
神林村,かみはやしむら
山北町,さんぽくまち
粟島浦村,あわしまうらむら
佐渡郡,さどぐん
佐和田町,さわたまち
金井町,かないまち
新穂村,にいぼむら
畑野町,はたのまち
真野町,まのまち
小木町,おぎまち
羽茂町,はもちまち
赤泊村,あかどまりむら
富山県,とやまけん
富山県市部,とやまけんしぶ
富山県郡部,とやまけんぐんぶ
富山市,とやまし
高岡市,たかおかし
新湊市,しんみなとし
魚津市,うおづし
氷見市,ひみし
滑川市,なめりかわし
黒部市,くろべし
砺波市,となみし
小矢部市,おやべし
南砺市,なんとし
射水市,いみずし
上新川郡,かみにいかわぐん
大沢野町,おおさわのまち
大山町,おおやままち
中新川郡,なかにいかわぐん
舟橋村,ふなはしむら
上市町,かみいちまち
立山町,たてやままち
下新川郡,しもにいかわぐん
宇奈月町,うなづきまち
入善町,にゅうぜんまち
婦負郡,ねいぐん
八尾町,やつおまち
婦中町,ふちゅうまち
山田村,やまだむら
細入村,ほそいりむら
射水郡,いみずぐん
小杉町,こすぎまち
大門町,だいもんまち
下村,しもむら
東礪波郡,ひがしとなみぐん
城端町,じょうはなまち
平村,たいらむら
上平村,かみたいらむら
利賀村,とがむら
庄川町,しょうがわまち
井波町,いなみまち
井口村,いのくちむら
福野町,ふくのまち
西礪波郡,にしとなみぐん
福光町,ふくみつまち
石川県,いしかわけん
石川県市部,いしかわけんしぶ
石川県郡部,いしかわけんぐんぶ
金沢市,かなざわし
七尾市,ななおし
小松市,こまつし
輪島市,わじまし
珠洲市,すずし
加賀市,かがし
羽咋市,はくいし
松任市,まっとうし
かほく市,かほくし
白山市,はくさんし
能美市,のみし
野々市市,ののいちし
江沼郡,えぬまぐん
山中町,やまなかまち
能美郡,のみぐん
根上町,ねあがりまち
寺井町,てらいまち
辰口町,たつのくちまち
川北町,かわきたまち
川北村,かわきたむら
松任町,まつとうまち
鶴来町,つるぎまち
野々市町,ののいちまち
吉野谷村,よしのだにむら
鳥越村,とりごえむら
尾口村,おぐちむら
白峰村,しらみねむら
河北郡,かほくぐん
津幡町,つばたまち
高松町,たかまつまち
七塚町,ななつかまち
宇ノ気町,うのけまち
内灘町,うちなだまち
羽咋郡,はくいぐん
高浜町,たかはままち
富来町,とぎまち
志雄町,しおまち
志賀町,しかまち
押水町,おしみずまち
宝達志水町,ほうだつしみずちょう
田鶴浜町,たつるはままち
鳥屋町,とりやまち
中島町,なかじままち
能登島町,のとじままち
鹿西町,ろくせいまち
中能登町,なかのとまち
鳳至郡,ふげしぐん
穴水町,あなみずまち
門前町,もんぜんまち
能都町,のとまち
柳田村,やなぎだむら
珠洲郡,すずぐん
内浦町,うちうらまち
鳳珠郡,ほうすぐん
能登町,のとちょう
福井県,ふくいけん
福井県市部,ふくいけんしぶ
福井県郡部,ふくいけんぐんぶ
福井市,ふくいし
敦賀市,つるがし
武生市,たけふし
小浜市,おばまし
大野市,おおのし
勝山市,かつやまし
鯖江市,さばえし
あわら市,あわらし
越前市,えちぜんし
坂井市,さかいし
足羽郡,あすわぐん
足羽町,あすわちょう
美山町,みやまちょう
吉田郡,よしだぐん
松岡町,まつおかちょう
永平寺町,えいへいじちょう
上志比村,かみしひむら
大野郡,おおのぐん
西谷村,にしたにむら
和泉村,いずみむら
坂井郡,さかいぐん
三国町,みくにちょう
芦原町,あわらちょう
金津町,かなづちょう
丸岡町,まるおかちょう
春江町,はるえちょう
坂井町,さかいちょう
今立郡,いまだてぐん
今立町,いまだてちょう
南条郡,なんじょうぐん
南条町,なんじょうちょう
今庄町,いまじょうちょう
河野村,こうのむら
南越前町,みなみえちぜんちょう
丹生郡,にゅうぐん
宮崎村,みやざきむら
越前町,えちぜんちょう
越廼村,こしのむら
織田町,おたちょう
三方郡,みかたぐん
三方町,みかたちょう
美浜町,みはまちょう
遠敷郡,おにゅうぐん
上中町,かみなかちょう
名田庄村,なたしょうむら
大飯郡,おおいぐん
高浜町,たかはまちょう
大飯町,おおいちょう
三方上中郡,みかたかみなかぐん
若狭町,わかさちょう
山梨県,やまなしけん
山梨県市部,やまなしけんしぶ
山梨県郡部,やまなしけんぐんぶ
甲府市,こうふし
富士吉田市,ふじよしだし
塩山市,えんざんし
都留市,つるし
山梨市,やまなしし
大月市,おおつきし
韮崎市,にらさきし
南アルプス市,みなみあるぷすし
甲斐市,かいし
笛吹市,ふえふきし
上野原市,うえのはらし
甲州市,こうしゅうし
中央市,ちゅうおうし
東山梨郡,ひがしやまなしぐん
春日居町,かすがいちょう
牧丘町,まきおかちょう
三富村,みとみむら
勝沼町,かつぬまちょう
東八代郡,ひがしやつしろぐん
御坂町,みさかちょう
一宮町,いちのみやちょう
八代町,やつしろちょう
境川村,さかいがわむら
中道町,なかみちまち
芦川村,あしがわむら
豊富村,とよとみむら
西八代郡,にしやつしろぐん
上九一色村,かみくいしきむら
三珠町,みたまちょう
市川大門町,いちかわだいもんちょう
六郷町,ろくごうちょう
下部町,しもべちょう
市川三郷町,いちかわみさとちょう
南巨摩郡,みなみこまぐん
増穂町,ますほちょう
鰍沢町,かじかざわちょう
中富町,なかとみちょう
早川町,はやかわちょう
身延町,みのぶちょう
富沢町,とみざわちょう
富士川町,ふじかわちょう
中巨摩郡,なかこまぐん
竜王町,りゅうおうちょう
敷島町,しきしままち
玉穂町,たまほちょう
玉穂村,たまほむら
昭和町,しょうわちょう
田富町,たとみちょう
八田村,はったむら
白根町,しらねまち
芦安村,あしやすむら
若草町,わかくさちょう
櫛形町,くしがたまち
甲西町,こうさいまち
北巨摩郡,きたこまぐん
双葉町,ふたばちょう
明野村,あけのむら
須玉町,すたまちょう
須玉町,すだまちょう
高根町,たかねちょう
長坂町,ながさかちょう
大泉村,おおいずみむら
小淵沢町,こぶちさわちょう
白州町,はくしゅうまち
武川村,むかわむら
南都留郡,みなみつるぐん
秋山村,あきやまむら
道志村,どうしむら
西桂町,にしかつらちょう
忍野村,おしのむら
山中湖村,やまなかこむら
河口湖町,かわぐちこまち
勝山村,かつやまむら
足和田村,あしわだむら
鳴沢村,なるさわむら
富士河口湖町,ふじかわぐちこまち
北都留郡,きたつるぐん
上野原町,うえのはらまち
小菅村,こすげむら
丹波山村,たばやまむら
長野県,ながのけん
長野県市部,ながのけんしぶ
長野県郡部,ながのけんぐんぶ
長野市,ながのし
松本市,まつもとし
上田市,うえだし
岡谷市,おかやし
飯田市,いいだし
諏訪市,すわし
須坂市,すざかし
小諸市,こもろし
伊那市,いなし
駒ヶ根市,こまがねし
中野市,なかのし
大町市,おおまちし
飯山市,いいやまし
茅野市,ちのし
塩尻市,しおじりし
更埴市,こうしょくし
佐久市,さくし
千曲市,ちくまし
東御市,とうみし
安曇野市,あづみのし
南佐久郡,みなみさくぐん
臼田町,うすだまち
佐久町,さくまち
小海町,こうみまち
川上村,かわかみむら
南牧村,みなみまきむら
南相木村,みなみあいきむら
北相木村,きたあいきむら
八千穂村,やちほむら
佐久穂町,さくほまち
北佐久郡,きたさくぐん
軽井沢町,かるいざわまち
望月町,もちづきまち
御代田町,みよたまち
立科町,たてしなまち
浅科村,あさしなむら
北御牧村,きたみまきむら
小県郡,ちいさがたぐん
丸子町,まるこまち
長門町,ながとまち
東部町,とうぶまち
真田町,さなだまち
武石村,たけしむら
和田村,わだむら
川西村,かわにしむら
青木村,あおきむら
諏訪郡,すわぐん
下諏訪町,しもすわまち
原村,はらむら
上伊那郡,かみいなぐん
高遠町,たかとおまち
辰野町,たつのまち
箕輪町,みのわまち
飯島町,いいじままち
南箕輪村,みなみみのわむら
中川村,なかがわむら
長谷村,はせむら
宮田村,みやだむら
下伊那郡,しもいなぐん
鼎町,かなえまち
松川町,まつかわまち
高森町,たかもりまち
阿南町,あなんちょう
清内路村,せいないじむら
阿智村,あちむら
浪合村,なみあいむら
平谷村,ひらやむら
根羽村,ねばむら
下條村,しもじょうむら
売木村,うるぎむら
天龍村,てんりゅうむら
泰阜村,やすおかむら
喬木村,たかぎむら
豊丘村,とよおかむら
大鹿村,おおしかむら
上村,かみむら
南信濃村,みなみしなのむら
木曽郡,きそぐん
木曽福島町,きそふくしままち
上松町,あげまつまち
南木曽町,なぎそまち
楢川村,ならかわむら
木祖村,きそむら
日義村,ひよしむら
開田村,かいだむら
三岳村,みたけむら
王滝村,おうたきむら
大桑村,おおくわむら
山口村,やまぐちむら
木曽町,きそまち
東筑摩郡,ひがしちくまぐん
明科町,あかしなまち
本郷村,ほんごうむら
四賀村,しがむら
本城村,ほんじょうむら
坂北村,さかきたむら
麻績村,おみむら
坂井村,さかいむら
生坂村,いくさかむら
波田村,はたむら
波田町,はたまち
筑北村,ちくほくむら
南安曇郡,みなみあづみぐん
豊科町,とよしなまち
穂高町,ほたかまち
奈川村,ながわむら
安曇村,あづみむら
梓川村,あずさがわむら
堀金村,ほりがねむら
北安曇郡,きたあづみぐん
池田町,いけだまち
松川村,まつかわむら
八坂村,やさかむら
美麻村,みあさむら
白馬村,はくばむら
小谷村,おたりむら
更級郡,さらしなぐん
上山田町,かみやまだまち
大岡村,おおおかむら
埴科郡,はにしなぐん
坂城町,さかきまち
戸倉町,とぐらまち
上高井郡,かみたかいぐん
小布施町,おぶせまち
下高井郡,しもたかいぐん
山ノ内町,やまのうちまち
木島平村,きじまだいらむら
野沢温泉村,のざわおんせんむら
上水内郡,かみみのちぐん
信州新町,しんしゅうしんまち
豊野町,とよのまち
信濃町,しなのまち
牟礼村,むれむら
三水村,さみずむら
戸隠村,とがくしむら
鬼無里村,きなさむら
中条村,なかじょうむら
飯綱町,いいづなまち
下水内郡,しもみのちぐん
豊田村,とよたむら
岐阜県,ぎふけん
岐阜県市部,ぎふけんしぶ
岐阜県郡部,ぎふけんぐんぶ
岐阜市,ぎふし
大垣市,おおがきし
高山市,たかやまし
多治見市,たじみし
関市,せきし
中津川市,なかつがわし
美濃市,みのし
瑞浪市,みずなみし
羽島市,はしまし
恵那市,えなし
美濃加茂市,みのかもし
土岐市,ときし
各務原市,かかみがはらし
可児市,かにし
瑞穂市,みずほし
飛騨市,ひだし
本巣市,もとすし
郡上市,ぐじょうし
下呂市,げろし
海津市,かいづし
羽島郡,はしまぐん
川島町,かわしまちょう
岐南町,ぎなんちょう
笠松町,かさまつちょう
柳津町,やないづちょう
海津郡,かいづぐん
海津町,かいづちょう
平田町,ひらたちょう
南濃町,なんのうちょう
養老郡,ようろうぐん
養老町,ようろうちょう
上石津町,かみいしづちょう
不破郡,ふわぐん
垂井町,たるいちょう
関ケ原町,せきがはらちょう
安八郡,あんぱちぐん
神戸町,ごうどちょう
輪之内町,わのうちちょう
安八町,あんぱちちょう
墨俣町,すのまたちょう
揖斐郡,いびぐん
揖斐川町,いびがわちょう
谷汲村,たにぐみむら
春日村,かすがむら
久瀬村,くぜむら
藤橋村,ふじはしむら
坂内村,さかうちむら
徳山村,とくやまむら
本巣郡,もとすぐん
北方町,きたがたちょう
本巣町,もとすちょう
穂積町,ほづみちょう
巣南町,すなみちょう
真正町,しんせいちょう
糸貫町,いとぬきちょう
根尾村,ねおむら
山県郡,やまがたぐん
高富町,たかとみちょう
伊自良村,いじらむら
武儀郡,むぎぐん
洞戸村,ほらどむら
板取村,いたどりむら
武芸川町,むげがわちょう
武儀町,むぎちょう
武儀村,むぎむら
上之保村,かみのほむら
郡上郡,ぐじょうぐん
八幡町,はちまんちょう
大和町,やまとちょう
白鳥町,しろとりちょう
高鷲村,たかすむら
美並村,みなみむら
奥明方村,おくみょうがたむら
明方村,みょうがたむら
明宝村,めいほうむら
和良村,わらむら
加茂郡,かもぐん
坂祝町,さかほぎちょう
富加村,とみかむら
富加町,とみかちょう
川辺町,かわべちょう
七宗町,ひちそうちょう
七宗村,ひちそうむら
八百津町,やおつちょう
白川町,しらかわちょう
東白川村,ひがししらかわむら
可児郡,かにぐん
御嵩町,みたけちょう
可児町,かにちょう
兼山町,かねやまちょう
土岐郡,ときぐん
笠原町,かさはらちょう
恵那郡,えなぐん
坂下町,さかしたちょう
川上村,かわうえむら
加子母村,かしもむら
付知町,つけちちょう
福岡町,ふくおかちょう
蛭川村,ひるかわむら
岩村町,いわむらちょう
山岡町,やまおかちょう
明智町,あけちちょう
串原村,くしはらむら
上矢作町,かみやはぎちょう
益田郡,ましたぐん
萩原町,はぎわらちょう
小坂町,おさかちょう
下呂町,げろちょう
金山町,かなやまちょう
馬瀬村,まぜむら
丹生川村,にゅうかわむら
清見村,きよみむら
荘川村,しょうかわむら
白川村,しらかわむら
宮村,みやむら
久々野町,くぐのちょう
高根村,たかねむら
吉城郡,よしきぐん
古川町,ふるかわちょう
国府町,こくふちょう
宮川村,みやがわむら
神岡町,かみおかちょう
上宝村,かみたからむら
静岡県,しずおかけん
静岡県市部,しずおかけんしぶ
静岡県郡部,しずおかけんぐんぶ
静岡市,しずおかし
葵区,あおいく
駿河区,するがく
清水区,しみずく
浜松市,はままつし
浜北区,はまきたく
天竜区,てんりゅうく
浜名区,はまなく
沼津市,ぬまづし
清水市,しみずし
熱海市,あたみし
三島市,みしまし
富士宮市,ふじのみやし
伊東市,いとうし
島田市,しまだし
富士市,ふじし
磐田市,いわたし
焼津市,やいづし
掛川市,かけがわし
藤枝市,ふじえだし
御殿場市,ごてんばし
袋井市,ふくろいし
天竜市,てんりゅうし
浜北市,はまきたし
下田市,しもだし
裾野市,すそのし
湖西市,こさいし
伊豆市,いずし
御前崎市,おまえざきし
菊川市,きくがわし
伊豆の国市,いずのくにし
牧之原市,まきのはらし
東伊豆町,ひがしいずちょう
河津町,かわづちょう
南伊豆町,みなみいずちょう
