アーチェリー,あーちぇりー
元年,がんねん
観音,かんのん
乾杯,かんぱい
かんぱち,かんぱち
看板,かんばん
ガンビア,がんびあ
缶ビール,かんびーる
乾物,かんぶつ
丸薬,がんやく
肝油,かんゆ
関与,かんよ
陥落,かんらく
観覧,かんらん
監理,かんり
元利,がんり
眼力,がんりき
管理人,かんりにん
感涙,かんるい
慣例,かんれい
還暦,かんれき
関連,かんれん
寒露,かんろ
貫禄,かんろく
緩和,かんわ
気合い,きあい
気圧,きあつ
起案,きあん
議案,ぎあん
キーウ,きーう
生糸,きいと
キーボード,きーぼーど
黄色,きいろ
黄色い,きいろい
起因,きいん
議員,ぎいん
機運,きうん
帰依,きえ
気炎,きえん
義援,ぎえん
記憶,きおく
気後れ,きおくれ
気落ち,きおち
気温,きおん
擬音,ぎおん
帰化,きか
飢餓,きが
器械,きかい
危害,きがい
議会,ぎかい
着替え,きがえ
幾何学,きかがく
企画,きかく
器楽,きがく
来掛け,きがけ
気兼ね,きがね
気構え,きがまえ
帰還,きかん
祈願,きがん
技官,ぎかん
気管支,きかんし
危機,きき
木々,きぎ
疑義,ぎぎ
利き腕,ききうで
効き目,ききめ
聞き役,ききやく
気球,ききゅう
木切れ,きぎれ
基金,ききん
貴金属,ききんぞく
菊,きく
危惧,きぐ
気配り,きくばり
気位,きぐらい
偽計,ぎけい
技芸,ぎげい
喜劇,きげき
帰結,きけつ
議決,ぎけつ
棄権,きけん
期限,きげん
季語,きご
帰国,きこく
疑獄,ぎごく
着心地,きごこち
気心,きごころ
気骨,きこつ
きこり,きこり
既婚,きこん
記載,きさい
器材,きざい
后,きさき
如月,きさらぎ
岸,きし
記事,きじ
技師,ぎし
儀式,ぎしき
気質,きしつ
岸辺,きしべ
技術,ぎじゅつ
寄進,きしん
疑心,ぎしん
鱚,きす
傷,きず
寄生,きせい
犠牲,ぎせい
擬声語,ぎせいご
議席,ぎせき
季節,きせつ
気絶,きぜつ
季節風,きせつふう
棋戦,きせん
偽善,ぎぜん
起訴,きそ
規則,きそく
帰属,きぞく
義足,ぎそく
貴族院,きぞくいん
既存,きそん
北,きた
犠打,ぎだ
ギター,ぎたー
期待,きたい
季題,きだい
擬態,ぎたい
議題,ぎだい
北風,きたかぜ
寄託,きたく
北口,きたぐち
北国,きたぐに
木太刀,きだち
北朝鮮,きたちょうせん
気立て,きだて
北マケドニア,きたまけどにあ
忌憚,きたん
危地,きち
鬼畜,きちく
吉例,きちれい
喫煙,きつえん
吃音,きつおん
キックボード,きっくぼーど
着付,きつけ
喫茶店,きっさてん
キッチン,きっちん
啄木鳥,きつつき
切手,きって
狐,きつね
切符,きっぷ
詰問,きつもん
規定,きてい
義弟,ぎてい
汽笛,きてき
基点,きてん
儀典,ぎてん
企図,きと
喜怒,きど
危篤,きとく
着流し,きながし
黄な粉,きなこ
ギニア,ぎにあ
ギニアビサウ,ぎにあびさう
帰任,きにん
絹,きぬ
絹糸,きぬいと
気抜け,きぬけ
砧,きぬた
杵,きね
祈念,きねん
疑念,ぎねん
昨日,きのう
茸,きのこ
気のせい,きのせい
気乗り,きのり
木場,きば
気迫,きはく
起爆,きばく
木箱,きばこ
揮発,きはつ
気晴らし,きばらし
規範,きはん
基盤,きばん
機帆船,きはんせん
忌避,きひ
機微,きび
犠飛,ぎひ
忌引き,きびき
気品,きひん
寄付,きふ
岐阜,ぎふ
起伏,きふく
器物,きぶつ
キプロス,きぷろす
気分,きぶん
気分転換,きぶんてんかん
騎兵,きへい
木偏,きへん
奇弁,きべん
規模,きぼ
義母,ぎぼ
希望,きぼう
木彫り,きぼり
基本,きほん
義妹,ぎまい
気前,きまえ
期末,きまつ
決まり手,きまりて
欺瞞,ぎまん
君,きみ
機密,きみつ
黄緑,きみどり
義務,ぎむ
木村,きむら
記名,きめい
偽名,ぎめい
決め球,きめだま
決め手,きめて
肝,きも
肝煎り,きもいり
気持ち,きもち
着物,きもの
気門,きもん
疑問,ぎもん
客,きゃく
既約,きやく
気休め,きやすめ
キャミソール,きゃみそーる
キャラメル,きゃらめる
キャンディ,きゃんでぃ
キャンプ,きゃんぷ
キャンプ場,きゃんぷじょう
キャンベラ,きゃんべら
休日,きゅうじつ
球体,きゅうたい
キュート,きゅーと
牛肉,ぎゅうにく
牛乳,ぎゅうにゅう
キューバ,きゅーば
給料,きゅうりょう
きゅっと,きゅっと
きゅるる,きゅるる
きゅるるん,きゅるるん
きゅるん,きゅるん
きゅん,きゅん
寄与,きよ
今日,きょう
教育,きょういく
教会,きょうかい
教科書,きょうかしょ
共感,きょうかん
競技場,きょうぎじょう
供給,きょうきゅう
凝固,ぎょうこ
ぎょうざ,ぎょうざ
共産主義,きょうさんしゅぎ
教室,きょうしつ
凝縮,ぎょうしゅく
競争,きょうそう
競艇,きょうてい
競艇場,きょうていじょう
京都,きょうと
恐怖,きょうふ
興味,きょうみ
恐竜,きょうりゅう
協力,きょうりょく
行列,ぎょうれつ
許可,きょか
極限,きょくげん
漁港,ぎょこう
巨大,きょだい
距離,きょり
魚類,ぎょるい
機雷,きらい
きらきら,きらきら
桐,きり
義理,ぎり
切り売り,きりうり
切り絵,きりえ
切替,きりかえ
切り株,きりかぶ
切り口,きりくち
霧雨,きりさめ
規律,きりつ
キリバス,きりばす
霧吹き,きりふき
切り札,きりふだ
切り干し,きりぼし
切り身,きりみ
錐揉み,きりもみ
切り盛り,きりもり
きりん,きりん
キルギス,きるぎす
綺麗,きれい
儀礼,ぎれい
綺麗事,きれいごと
亀裂,きれつ
切れ端,きれはし
切れ目,きれめ
切れ者,きれもの
岐路,きろ
ギロ,ぎろ
記録,きろく
議論,ぎろん
木枠,きわく
疑惑,ぎわく
極み,きわみ
斤,きん
銀,ぎん
金色,きんいろ
銀色,ぎんいろ
禁煙,きんえん
金貨,きんか
銀貨,ぎんか
近海,きんかい
金額,きんがく
近刊,きんかん
近眼,きんがん
金魚,きんぎょ
金銀,きんぎん
禁句,きんく
キングストン,きんぐすとん
近景,きんけい
近県,きんけん
金言,きんげん
禁固,きんこ
銀行,ぎんこう
銀行員,ぎんこういん
筋骨,きんこつ
金策,きんさく
禁止,きんし
キンシャサ,きんしゃさ
謹慎,きんしん
禁制,きんせい
銀世界,ぎんせかい
近接,きんせつ
琴線,きんせん
筋線維,きんせんい
勤続,きんぞく
近代,きんだい
金高,きんだか
禁断,きんだん
緊張,きんちょう
金的,きんてき
銀杏,ぎんなん
筋肉,きんにく
近年,きんねん
近辺,きんぺん
金目鯛,きんめだい
金木犀,きんもくせい
禁輸,きんゆ
金融業,きんゆうぎょう
金曜日,きんようび
禁欲,きんよく
近来,きんらい
金蘭,きんらん
金利,きんり
近隣,きんりん
菌類,きんるい
禁令,きんれい
具合,ぐあい
グアテマラ,ぐあてまら
杭,くい
区域,くいき
食い気,くいけ
食い物,くいもの
空間,くうかん
空気,くうき
空港,くうこう
偶然,ぐうぜん
苦海,くかい
区画,くかく
苦学,くがく
区間,くかん
茎,くき
釘,くぎ
九々,くく
潜り戸,くぐりど
公家,くげ
矩形,くけい
苦言,くげん
具現,ぐげん
草,くさ
草刈り,くさかり
草木,くさき
愚策,ぐさく
草地,くさち
草取り,くさとり
草花,くさばな
草原,くさはら
楔,くさび
草笛,くさぶえ
草葺き,くさぶき
草枕,くさまくら
草叢,くさむら
草餅,くさもち
鎖,くさり
腐れ縁,くされえん
草分け,くさわけ
駆使,くし
苦心,くしん
具申,ぐしん
くす玉,くすだま
薬,くすり
薬屋,くすりや
薬指,くすりゆび
癖,くせ
苦節,くせつ
曲者,くせもの
苦戦,くせん
管,くだ
具体,ぐたい
果物,くだもの
下り坂,くだりざか
下り線,くだりせん
口,くち
愚痴,ぐち
口開け,くちあけ
口裏,くちうら
口絵,くちえ
口金,くちがね
口利き,くちきき
駆逐,くちく
口癖,くちぐせ
口々,くちぐち
口答え,くちごたえ
口先,くちさき
口添え,くちぞえ
口出し,くちだし
口止め,くちどめ
口無し,くちなし
くちばし,くちばし
口火,くちび
唇,くちびる
口笛,くちぶえ
口振り,くちぶり
口紅,くちべに
口偏,くちへん
口真似,くちまね
口元,くちもと
靴,くつ
クッキー,くっきー
靴下,くつした
轡,くつわ
句点,くてん
功徳,くどく
宮内,くない
苦難,くなん
国,くに
国構え,くにがまえ
国柄,くにがら
狗肉,くにく
国々,くにぐに
国境,くにざかい
国元,くにもと
橡,くぬぎ
苦杯,くはい
首,くび
具備,ぐび
軛,くびき
首切り,くびきり
首吊り,くびつり
首輪,くびわ
区部,くぶ
区分,くぶん
区別,くべつ
凹地,くぼち
くま,くま
隈笹,くまざさ
熊手,くまで
隈取り,くまどり
熊蜂,くまばち
熊本,くまもと
組,くみ
胡頽子,ぐみ
組合,くみあい
組員,くみいん
組み手,くみて
区民,くみん
愚民,ぐみん
工面,くめん
蜘蛛,くも
雲隠れ,くもがくれ
供物,くもつ
雲間,くもま
蜘蛛膜,くもまく
雲行き,くもゆき
曇,くもり
曇り空,くもりぞら
苦悶,くもん
愚問,ぐもん
区役所,くやくしょ
蔵,くら
位,くらい
クライアント,くらいあんと
位取り,くらいどり
クラウド,くらうど
鞍替え,くらがえ
暗がり,くらがり
苦楽,くらく
くらげ,くらげ
グラス,ぐらす
クラッカー,くらっかー
クラッチバッグ,くらっちばっぐ
クラブ,くらぶ
比べ物,くらべもの
蔵元,くらもと
暗闇,くらやみ
クラリネット,くらりねっと
庫裏,くり
クリアファイル,くりあふぁいる
繰り返し,くりかえし
栗毛,くりげ
繰り言,くりごと
クリスマス,くりすます
区立,くりつ
クリップ,くりっぷ
クルーザー,くるーざー
くるくる,くるくる
来る年,くるとし
踝,くるぶし
車,くるま
車えび,くるまえび
車座,くるまざ
車代,くるまだい
車偏,くるまへん
胡桃,くるみ
暮れ方,くれがた
紅,くれない
クレヨン,くれよん
黒,くろ
クロアチア,くろあちあ
黒い,くろい
グローブ,ぐろーぶ
くろがね,くろがね
黒焦げ,くろこげ
黒潮,くろしお
黒白,くろしろ
黒土,くろつち
黒縁,くろぶち
黒船,くろふね
黒星,くろぼし
黒幕,くろまく
黒松,くろまつ
黒豆,くろまめ
黒山,くろやま
クロワッサン,くろわっさん
桑,くわ
鍬形,くわがた
区分け,くわけ
区割り,くわり
群,ぐん
軍医,ぐんい
軍歌,ぐんか
軍拡,ぐんかく
軍艦,ぐんかん
軍旗,ぐんき
訓告,くんこく
軍国,ぐんこく
君子,くんし
燻製,くんせい
群生,ぐんせい
軍勢,ぐんぜい
軍属,ぐんぞく
軍隊,ぐんたい
軍団,ぐんだん
軍手,ぐんて
訓読,くんどく
群読,ぐんどく
群馬,ぐんま
訓読み,くんよみ
群落,ぐんらく
君臨,くんりん
訓令,くんれい
訓練,くんれん
訓話,くんわ
毛穴,けあな
刑,けい
芸,げい
敬愛,けいあい
経緯,けいい
経営,けいえい
敬遠,けいえん
経過,けいか
慶賀,けいが
警戒,けいかい
形骸,けいがい
計画,けいかく
景観,けいかん
刑期,けいき
迎撃,げいげき
経験,けいけん
軽減,けいげん
稽古,けいこ
警護,けいご
芸子,げいこ
蛍光ペン,けいこうぺん
警告,けいこく
稽古事,けいこごと
芸事,げいごと
掲載,けいさい
経済,けいざい
警察,けいさつ
警察署,けいさつしょ
計算,けいさん
軽視,けいし
刑事,けいじ
型式,けいしき
傾斜,けいしゃ
芸術,げいじゅつ
軽震,けいしん
形成,けいせい
形跡,けいせき
経線,けいせん
ケイ素,けいそ
計測,けいそく
継続,けいぞく
携帯,けいたい
境内,けいだい
芸談,げいだん
啓蟄,けいちつ
警笛,けいてき
毛糸,けいと
経度,けいど
鶏肉,けいにく
芸人,げいにん
競馬,けいば
競馬場,けいばじょう
啓発,けいはつ
刑罰,けいばつ
経費,けいひ
警備,けいび
景品,けいひん
系譜,けいふ
軽侮,けいぶ
敬服,けいふく
軽蔑,けいべつ
芸名,げいめい
契約,けいやく
経由,けいゆ
警邏,けいら
鶏卵,けいらん
経理,けいり
競輪,けいりん
競輪場,けいりんじょう
敬礼,けいれい
経歴,けいれき
系列,けいれつ
痙攣,けいれん
毛色,けいろ
稀有,けう
ケーキ,けーき
ケーキ屋,けーきや
ケーブルカー,けーぶるかー
ゲーム,げーむ
ゲームセンター,げーむせんたー
毛織り,けおり
怪我,けが
外科,げか
下界,げかい
怪我人,けがにん
毛皮,けがわ
下巻,げかん
劇,げき
劇化,げきか
劇画,げきが
激減,げきげん
劇作,げきさく
劇作家,げきさくか
劇場,げきじょう
激震,げきしん
激戦,げきせん
撃退,げきたい
劇団,げきだん
撃沈,げきちん
撃墜,げきつい
激怒,げきど
激突,げきとつ
撃破,げきは
劇物,げきぶつ
激変,げきへん
激務,げきむ
劇薬,げきやく
毛嫌い,けぎらい
激励,げきれい
激論,げきろん
下血,げけつ
今朝,けさ
下剤,げざい
毛先,けさき
下山,げざん
芥子,けし
夏至,げし
消印,けしいん
景色,けしき
消しゴム,けしごむ
芥子粒,けしつぶ
化身,けしん
下水,げすい
ゲストハウス,げすとはうす
下船,げせん
下足,げそく
桁,けた
下駄,げた
解脱,げだつ
下段,げだん
ケチャップ,けちゃっぷ
欠,けつ
月,げつ
血圧,けつあつ
欠員,けついん
血液,けつえき
血縁,けつえん
結果,けっか
月額,げつがく
決議,けつぎ
結婚,けっこん
月食,げっしょく
血税,けつぜい
血族,けつぞく
決断,けつだん
血肉,けつにく
欠番,けつばん
決別,けつべつ
結末,けつまつ
月面,げつめん
月曜日,げつようび
欠落,けつらく
月例,げつれい
決裂,けつれつ
結論,けつろん
解毒,げどく
毛並み,けなみ
ケニア,けにあ
毛抜,けぬき
解熱,げねつ
懸念,けねん
気配,けはい
毛鉤,けばり
蹴鞠,けまり
毛虫,けむし
煙,けむり
獣,けもの
獣偏,けものへん
下野,げや
欅,けやき
家来,けらい
下落,げらく
けり,けり
下痢,げり
けろりと,けろりと
件,けん
元,げん
減圧,げんあつ
懸案,けんあん
原案,げんあん
権威,けんい
牽引,けんいん
原因,げんいん
巻雲,けんうん
兼営,けんえい
検疫,けんえき
原液,げんえき
検閲,けんえつ
嫌悪,けんお
検温,けんおん
喧嘩,けんか
原価,げんか
原画,げんが
県会,けんかい
厳戒,げんかい
言外,げんがい
見学,けんがく
幻覚,げんかく
減額,げんがく
検眼,けんがん
厳寒,げんかん
建議,けんぎ
元気,げんき
原義,げんぎ
研究者,けんきゅうしゃ
研究所,けんきゅうじょ
献金,けんきん
厳禁,げんきん
県警,けんけい
減刑,げんけい
献血,けんけつ
建言,けんげん
言語,げんご
健康,けんこう
原稿用紙,げんこうようし
建国,けんこく
原告,げんこく
拳骨,げんこつ
検査,けんさ
県債,けんさい
顕在,けんざい
現在,げんざい
県境,けんざかい
剣先,けんさき
建策,けんさく
原作,げんさく
検察,けんさつ
検察官,けんさつかん
剣山,けんざん
原産,げんさん
減算,げんざん
検視,けんし
原始,げんし
原子核,げんしかく
見識,けんしき
玄室,げんしつ
現実,げんじつ
現象,げんしょう
現状,げんじょう
検診,けんしん
懸垂,けんすい
減水,げんすい
現世,げんせ
建制,けんせい
原生,げんせい
減税,げんぜい
原石,げんせき
建設,けんせつ
言説,げんせつ
建設業,けんせつぎょう
厳選,げんせん
元素,げんそ
減速,げんそく
謙遜,けんそん
現存,げんそん
倦怠,けんたい
減退,げんたい
原題,げんだい
剣玉,けんだま
減反,げんたん
検地,けんち
現地,げんち
建築,けんちく
建築家,けんちくか
県庁,けんちょう
原付き,げんつき
検定,けんてい
限定,げんてい
減点,げんてん
建都,けんと
限度,げんど
剣道,けんどう
現生,げんなま
兼任,けんにん
憲法,けんぽう
原野,げんや
倹約,けんやく
原油,げんゆ
権利,けんり
原理,げんり
県立,けんりつ
権力,けんりょく
県連,けんれん
言論,げんろん
幻惑,げんわく
御挨拶,ごあいさつ
恋,こい
語彙,ごい
恋心,こいごころ
碁石,ごいし
こいつ,こいつ
こいぬ,こいぬ
鯉幟,こいのぼり
恋人,こいびと
恋文,こいぶみ
誤飲,ごいん
合意,ごうい
公園,こうえん
効果,こうか
後悔,こうかい
攻撃,こうげき
貢献,こうけん
光合成,こうごうせい
広告,こうこく
黄砂,こうさ
交渉,こうしょう
工場,こうじょう
香辛料,こうしんりょう
恒星,こうせい
構造,こうぞう
高速道路,こうそくどうろ
高知,こうち
紅茶,こうちゃ
交通,こうつう
行動,こうどう
合同,ごうどう
後輩,こうはい
交番,こうばん
幸福,こうふく
興奮,こうふん
神戸,こうべ
公民館,こうみんかん
公務員,こうむいん
項目,こうもく
小売業,こうりぎょう
効率,こうりつ
声,こえ
護衛,ごえい
小枝,こえだ
ゴーグル,ごーぐる
コート,こーと
コード,こーど
コーヒー,こーひー
氷,こおり
ゴール,ごーる
固化,こか
子飼い,こがい
誤解,ごかい
古楽,こがく
語学,ごがく
木陰,こかげ
枯渇,こかつ
五角形,ごかっけい
こがね,こがね
黄金色,こがねいろ
木枯らし,こがらし
湖岸,こがん
互換,ごかん
護岸,ごがん
古希,こき
語気,ごき
小気味,こきび
ごきぶり,ごきぶり
呼吸,こきゅう
国,こく
獄,ごく
極悪,ごくあく
国威,こくい
極意,ごくい
刻印,こくいん
国営,こくえい
国益,こくえき
黒煙,こくえん
国学,こくがく
極寒,ごくかん
国技,こくぎ
国軍,こくぐん
国劇,こくげき
刻限,こくげん
国語,こくご
国債,こくさい
国策,こくさく
国産,こくさん
酷使,こくし
国粋,こくすい
国是,こくぜ
国勢,こくせい
国籍,こくせき
国選,こくせん
告訴,こくそ
国体,こくたい
告知,こくち
小口,こぐち
国定,こくてい
黒点,こくてん
国土,こくど
国難,こくなん
告白,こくはく
告発,こくはつ
黒板,こくばん
黒板消し,こくばんけし
国費,こくひ
極秘,ごくひ
国賓,こくひん
極貧,ごくひん
克服,こくふく
国文,こくぶん
告別,こくべつ
国保,こくほ
極細,ごくぼそ
国民,こくみん
国務,こくむ
国名,こくめい
穀物,こくもつ
極楽,ごくらく
国立,こくりつ
穀類,こくるい
国論,こくろん
孤軍,こぐん
苔,こけ
固形,こけい
互恵,ごけい
小芥子,こけし
御家人,ごけにん
護憲,ごけん
語源,ごげん
個々,ここ
古語,こご
午後,ごご
ココア,ここあ
小声,こごえ
故国,ここく
五穀,ごこく
心地,ここち
小言,こごと
心,こころ
心意気,こころいき
心根,こころね
古今,ここん
誤差,ごさ
茣蓙,ござ
コサージュ,こさーじゅ
後妻,ごさい
小細工,こざいく
小魚,こざかな
小作,こさく
阜偏,こざとへん
小雨,こさめ
古参,こさん
誤算,ごさん
古紙,こし
漉し餡,こしあん
小潮,こしお
腰折れ,こしおれ
来し方,こしかた
古式,こしき
五色,ごしき
固執,こしつ
後日,ごじつ
腰抜け,こしぬけ
腰元,こしもと
胡椒,こしょう
個人,こじん
誤診,ごしん
湖水,こすい
コスタリカ,こすたりか
コスト,こすと
碁聖,ごせい
古生代,こせいだい
戸籍,こせき
小銭,こぜに
互選,ごせん
午前,ごぜん
五線紙,ごせんし
子育て,こそだて
個体,こたい
古代,こだい
答,こたえ
子宝,こだから
小出し,こだし
木立,こだち
こたつ,こたつ
木霊,こだま
こちら,こちら
骨,こつ
国境,こっきょう
骨壺,こつつぼ
骨盤,こつばん
コップ,こっぷ
小手,こて
後手,ごて
固定,こてい
鼓笛隊,こてきたい
小手先,こてさき
個展,こてん
御殿,ごてん
糊塗,こと
後藤,ごとう
事柄,ことがら
誤読,ごどく
今年,ことし
言葉,ことば
寿,ことぶき
子供,こども
小鳥,ことり
諺,ことわざ
粉,こな
粉薬,こなぐすり
粉雪,こなゆき
誤認,ごにん
小糠,こぬか
粉糠雨,こぬかあめ
こねこ,こねこ
此後,このあと
この頃,このごろ
此際,このさい
此先,このさき
此分,このぶん
此前,このまえ
此世,このよ
琥珀,こはく
御破算,ごはさん
小走り,こばしり
こはぜ,こはぜ
こはだ,こはだ
小旗,こばた
小咄,こばなし
子離れ,こばなれ
小林,こばやし
湖畔,こはん
小判,こばん
御飯,ごはん
碁盤,ごばん
語尾,ごび
コピー,こぴー
木挽,こびき
小人,こびと
鼓舞,こぶ
護符,ごふ
五分,ごぶ
呉服,ごふく
五分五分,ごぶごぶ
御無沙汰,ごぶさた
拳,こぶし
古物,こぶつ
小舟,こぶね
古墳,こふん
古文,こぶん
語弊,ごへい
個別,こべつ
コペンハーゲン,こぺんはおげん
独楽,こま
胡麻,ごま
胡麻油,ごまあぶら
狛犬,こまいぬ
細切り,こまぎり
細切れ,こまぎれ
鼓膜,こまく
駒草,こまくさ
小松,こまつ
小松菜,こまつな
駒鳥,こまどり
小間物,こまもの
困り者,こまりもの
小回り,こまわり
込,こみ
ごみ,ごみ
ゴミ処理場,ごみしょりじょう
小見出し,こみだし
小道,こみち
塵箱,ごみばこ
小麦,こむぎ
小麦色,こむぎいろ
小麦粉,こむぎこ
小結,こむすび
米,こめ
蟀谷,こめかみ
米蔵,こめぐら
米粒,こめつぶ
米所,こめどころ
米糠,こめぬか
米偏,こめへん
米屋,こめや
湖面,こめん
御免,ごめん
薦,こも
五目,ごもく
子持ち,こもち
小物,こもの
子守り,こもり
子守唄,こもりうた
コモロ,こもろ
顧問,こもん
小屋,こや
小屋掛け,こやがけ
子役,こやく
誤訳,ごやく
小やみ,こやみ
小雪,こゆき
小指,こゆび
今宵,こよい
暦,こよみ
紙撚り,こより
娯楽,ごらく
御覧,ごらん
懲り懲り,こりごり
孤立,こりつ
御利益,ごりやく
五輪,ごりん
ゴルフ,ごるふ
ゴルフ場,ごるふじょう
これ,これ
頃,ころ
語呂,ごろ
頃合い,ころあい
語録,ごろく
ころころ,ころころ
ごろつき,ごろつき
コロッケ,ころっけ
衣,ころも
衣替え,ころもがえ
衣偏,ころもへん
コロンビア,ころんびあ
声色,こわいろ
小分け,こわけ
婚,こん
紺色,こんいろ
婚姻,こんいん
コンガ,こんが
今回,こんかい
根幹,こんかん
懇願,こんがん
今季,こんき
困苦,こんく
根比べ,こんくらべ
権化,ごんげ
混血,こんけつ
今月,こんげつ
根源,こんげん
権現,ごんげん
今後,こんご
混合物,こんごうぶつ
コンサート,こんさーと
混在,こんざい
混雑,こんざつ
懇親,こんしん
困睡,こんすい
懇請,こんせい
痕跡,こんせき
今節,こんせつ
根絶,こんぜつ
混線,こんせん
コンソメ,こんそめ
献立,こんだて
魂胆,こんたん
懇談,こんだん
根治,こんち
昆虫,こんちゅう
根底,こんてい
今度,こんど
近藤,こんどう
コントラバス,こんとらばす
混沌,こんとん
今日,こんにち
コンパス,こんぱす
コンビニ,こんびに
コンピュータ,こんぴゅーた
今夜,こんや
婚約,こんやく
混乱,こんらん
婚礼,こんれい
懇話,こんわ
困惑,こんわく
サーバー,さーばー
サービスエリア,さーびすえりあ
サービス業,さーびすぎょう
サーフィン,さーふぃん
サーモン,さーもん
債,さい
剤,ざい
罪悪,ざいあく
罪悪感,ざいあくかん
在位,ざいい
再演,さいえん
裁可,さいか
再会,さいかい
災害,さいがい
財界,ざいかい
在外,ざいがい
才覚,さいかく
在学,ざいがく
細管,さいかん
再起,さいき
再議,さいぎ
採金,さいきん
在勤,ざいきん
細工,さいく
採掘,さいくつ
妻君,さいくん
財形,ざいけい
採決,さいけつ
歳月,さいげつ
再建,さいけん
再現,さいげん
財源,ざいげん
最期,さいご
在庫,ざいこ
さいころ,さいころ
再婚,さいこん
幸先,さいさき
採算,さいさん
財産,ざいさん
妻子,さいし
材質,ざいしつ
再審,さいしん
採寸,さいすん
再生,さいせい
財政,ざいせい
採石,さいせき
在籍,ざいせき
再戦,さいせん
催促,さいそく
臍帯,さいたい
採択,さいたく
在宅,ざいたく
埼玉,さいたま
裁断,さいだん
財団,ざいだん
裁定,さいてい
採点,さいてん
再度,さいど
斎藤,さいとう
災難,さいなん
再任,さいにん
在任,ざいにん
再燃,さいねん
才能,さいのう
采配,さいはい
栽培,さいばい
菜箸,さいばし
再発,さいはつ
財閥,ざいばつ
再版,さいはん
裁判,さいばん
裁判官,さいばんかん
裁判所,さいばんしょ
採否,さいひ
財布,さいふ
細部,さいぶ
細分,さいぶん
再編,さいへん
細胞,さいぼう
歳末,さいまつ
細密,さいみつ
催眠,さいみん
在民,ざいみん
債務,さいむ
財務,ざいむ
罪名,ざいめい
細目,さいもく
材木,ざいもく
在野,ざいや
災厄,さいやく
再来,さいらい
在来,ざいらい
採卵,さいらん
材料,ざいりょう
催涙,さいるい
祭礼,さいれい
再録,さいろく
サイン,さいん
サウジアラビア,さうじあらびあ
サウナ,さうな
差益,さえき
竿,さお
早乙女,さおとめ
竿秤,さおばかり
坂,さか
佐賀,さが
境,さかい
境目,さかいめ
逆恨み,さかうらみ
榊,さかき
差額,さがく
酒蔵,さかぐら
逆さ,さかさ
座頭,ざがしら
逆立ち,さかだち
酒樽,さかだる
逆手,さかて
魚,さかな
魚屋,さかなや
酒場,さかば
酒店,さかみせ
坂道,さかみち
坂本,さかもと
酒盛り,さかもり
酒屋,さかや
逆夢,さかゆめ
盛り,さかり
盛り場,さかりば
佐官,さかん
左岸,さがん
先,さき
詐欺,さぎ
先頃,さきごろ
先々,さきざき
先取り,さきどり
先払い,さきばらい
先触れ,さきぶれ
先細り,さきぼそり
先程,さきほど
先回り,さきまわり
先物,さきもの
防人,さきもり
先行き,さきゆき
作業,さぎょう
作業着,さぎょうぎ
砂金,さきん
作,さく
作為,さくい
索引,さくいん
作画,さくが
作柄,さくがら
削岩機,さくがんき
昨季,さくき
削減,さくげん
錯誤,さくご
酢酸,さくさん
作詞,さくし
作成,さくせい
作戦,さくせん
座屈,ざくつ
策定,さくてい
昨年,さくねん
昨晩,さくばん
作品,さくひん
作文,さくぶん
作物,さくもつ
昨夜,さくや
桜,さくら
炸裂,さくれつ
ザグレブ,ざぐれぶ
柘榴,ざくろ
酒,さけ
酒飲み,さけのみ
叫び,さけび
叫び声,さけびごえ
裂け目,さけめ
酒酔い,さけよい
左舷,さげん
雑魚,ざこ
鎖国,さこく
鎖骨,さこつ
雑魚寝,ざこね
笹,ささ
さざえ,さざえ
佐々木,ささき
査察,ささつ
さざ波,さざなみ
細雪,ささめゆき
山茶花,さざんか
座視,ざし
刺し網,さしあみ
挿絵,さしえ
差し金,さしがね
挿し木,さしき
座敷,ざしき
差し手,さして
刺し身,さしみ
指し物,さしもの
砂州,さす
サスペンダー,さすぺんだー
座席,ざせき
左折,させつ
挫折,ざせつ
左遷,させん
座禅,ざぜん
蠍,さそり
差損,さそん
沙汰,さた
ざた,ざた
座談,ざだん
札,さつ
撮影,さつえい
雑役,ざつえき
雑音,ざつおん
作家,さっか
サッカー,さっかー
五月,さつき
サックス,さっくす
雑誌,ざっし
札束,さつたば
雑談,ざつだん
雑念,ざつねん
雑文,ざつぶん
札幌,さっぽろ
薩摩芋,さつまいも
雑務,ざつむ
査定,さてい
砂鉄,さてつ
里,さと
里芋,さといも
佐藤,さとう
里帰り,さとがえり
里子,さとご
里心,さとごころ
サドル,さどる
早苗,さなえ
さなか,さなか
蛹,さなぎ
左派,さは
さば,さば
砂漠,さばく
錆,さび
寂しさ,さびしさ
座標,ざひょう
座布団,ざぶとん
差別,さべつ
左辺,さへん
様,さま
ざま,ざま
五月雨,さみだれ
寒け,さむけ
寒空,さむぞら
侍,さむらい
鮫,さめ
サモア,さもあ
査問,さもん
莢,さや
さ湯,さゆ
左右,さゆう
左翼,さよく
さより,さより
皿,さら
皿洗い,さらあらい
再来月,さらいげつ
再来週,さらいしゅう
再来年,さらいねん
ざら紙,ざらがみ
更紗,さらさ
晒し粉,さらしこ
サラダ,さらだ
更地,さらち
粗目,ざらめ
猿,さる
笊,ざる
然る事,さること
百日紅,さるすべり
ざるそば,ざるそば
猿真似,さるまね
沢,さわ
沢蟹,さわがに
鰆,さわら
左腕,さわん
参,さん
残,ざん
賛意,さんい
散逸,さんいつ
参院,さんいん
参加,さんか
三回,さんかい
